Price,Road Tax,COE Left,Mileage,Transmission,Deregistration,OMV,COE Price,Curb Weight,No. Of Owners,Vehicle Type
71800,6.52795791762255,765,90000,1,34589,30895,55501,1430,3,5
81800,6.6039438246004725,2005,50000,1,23569,11763,26659,1287,1,2
97800,6.525029657843462,2561,37000,1,39344,18253,36534,1067,2,1
57800,6.230481447578482,1369,57000,1,21568,17532,44002,1265,1,1
153800,7.085064293952548,2343,37652,1,50877,34004,32801,1790,1,3
176888,8.70549681988774,2928,41000,1,48801,114252,60586,1980,5,6
68800,7.091742115095153,738,88000,1,34966,36886,58190,1460,2,4
95800,6.436150368369428,1834,51555,1,37897,20151,38602,1289,1,2
17800,6.86484777797086,431,181000,1,3881,24076,15988,1080,4,1
97500,7.10002716662926,1131,85258,1,54727,47615,53001,1720,1,5
87800,4.248495242049359,2463,14000,1,16749,18064,15699,1185,1,5
63800,6.525029657843462,1370,58937,1,22781,19655,35211,1331,2,2
100858,6.359573868672378,2588,19000,1,41286,16479,47001,1070,1,1
37800,6.359573868672378,734,101421,1,16365,12783,57301,1020,2,1
79000,6.52795791762255,1155,132000,1,36145,30895,51109,1430,2,5
41800,6.525029657843462,858,80000,1,19336,18865,46651,1321,1,2
70800,6.6039438246004725,1640,78000,1,24993,11607,37000,1345,1,2
101800,6.525029657843462,2684,33809,1,40902,14262,41001,1085,1,2
58800,6.525029657843462,1098,128105,1,28707,23634,51507,1190,1,5
11900,6.835184586147301,218,270000,1,1765,21350,13943,1241,4,1
56788,6.436150368369428,1007,130000,1,23128,22568,53000,1310,4,4
162800,6.436150368369428,2769,27000,1,75905,33742,62100,1660,1,5
63000,6.60934924316738,1218,135000,1,30656,20818,50101,1249,3,2
64288,6.525029657843462,1102,78000,1,27109,18964,46778,1331,1,2
82500,7.091742115095153,790,133097,1,52783,52959,55001,1680,1,4
114900,7.098375638590786,1708,128000,1,47634,35897,38600,1390,1,1
104900,6.52795791762255,1615,80000,1,45321,35132,38000,1430,2,5
