Road Tax,OMV,Curb Weight,Mileage,COE Left,Price,COE Price,No. Of Owners
738,11602,1295,65451,1706,73828,36426,1
390,28219,1355,76000,1523,76800,38200,4
682,22758,1130,30000,2679,107800,41996,2
1210,53554,1530,119000,1856,155800,32302,1
586,34176,1375,59000,1828,132800,36001,1
1792,48189,2045,29000,2102,213800,47000,1
2258,61352,1695,18500,2284,275888,38000,3
1628,29172,1574,65399,491,41800,75289,1
1198,35342,1485,62400,2712,160800,49001,1
1210,22494,1480,78000,1919,103800,31001,1
684,36709,1520,45657,1864,137800,31101,1
1210,23227,1626,102600,1102,64800,56410,2
976,29472,1545,147000,763,54800,57501,1
578,16794,1052,55000,2589,90800,37334,1
3335,85250,1850,120300,2198,87800,37502,3
1194,65380,1845,50424,1463,184800,49802,1
684,46412,1635,47600,2197,184800,35001,1
1210,39083,1620,36600,2315,148800,37500,3
740,33857,1460,82000,821,67800,60001,1
506,13572,940,65000,1463,55800,42902,1
586,37049,1610,5000,3436,266800,95856,1
806,24909,1285,208000,2227,77888,33140,6
586,40341,1555,48000,2765,201800,47806,1
1210,46786,1615,40000,7,44800,74403,2
1786,32742,1898,61300,1492,127800,33420,1
682,19194,1130,75000,2283,89000,35320,1
1467,20861,1219,166860,948,37800,46048,1
620,19153,1417,95000,365,21800,64900,1
6612,62900,1775,115000,1528,58800,51850,2
508,13467,1048,80000,2073,73800,28589,1
1210,24412,1626,48969,1829,99000,31301,1
1169,54119,1470,92000,3046,116800,80583,5
392,22065,1190,25804,1833,96800,31783,1
2514,59155,1430,143000,2198,89800,37502,4
624,27819,1545,42882,2220,152800,41510,1
624,20925,1249,119000,216,17500,60002,2
684,38813,1430,42205,2621,160000,49300,1
624,20318,1249,103729,1343,60800,42801,2
684,30824,1490,67345,1978,117800,26659,1
1786,26629,1510,120000,764,43800,59889,2
2335,40299,1650,136000,2675,97888,45586,5
1792,45427,2075,40880,761,101800,57501,1
1210,41373,1615,118800,822,73800,50089,1
740,25384,1425,102350,851,53800,59200,3
740,27886,1430,96888,1098,73800,51506,1
684,26883,1360,86800,401,45800,62101,2
508,18953,1150,119800,943,40800,47300,3
1636,19837,1535,91200,1461,78800,48109,2
742,20881,1230,88800,2102,91800,26667,1
744,13492,1449,98988,1099,58800,42900,3
1210,41367,1490,33100,2707,179800,46790,1
682,19427,1130,68800,1678,76800,36426,2
738,18185,1295,133000,730,38999,56001,2
1208,14948,1566,101800,732,41800,60001,2
684,16698,1046,128200,886,43800,45000,3
1792,36300,1940,52503,1885,185588,31001,2
1792,40888,1615,137000,1103,86800,56340,1
1210,17222,1532,96000,1467,69800,49012,2
1630,30564,1855,121260,1000,75888,57010,2
1792,36561,1940,68000,1497,172800,31307,2
682,15677,1100,90160,1679,72800,37000,1
684,34502,1425,101000,1649,103800,38000,2
1210,39114,1400,16000,2591,175900,40690,2
738,12771,1292,115000,822,42800,51301,2
2380,62151,1856,80000,768,118800,53001,1
684,37835,1415,65000,1892,119800,30851,2
740,24971,1395,40662,766,75800,57508,2
740,25004,1425,125000,0,22900,62890,2
3094,82011,1880,102000,2592,118900,40014,4
1210,42149,1485,52000,2197,166800,38802,1
682,12715,1065,97000,1369,56800,51106,2
742,17982,1205,83000,1097,53800,47300,2
1210,71708,1680,90000,1155,138800,50389,1
965,18768,1100,124000,2468,76000,32875,6
742,19481,1315,54500,2828,121999,47010,1
624,22568,1310,90000,1006,51800,53000,3
508,33031,1295,77740,1583,86800,36810,1
508,25237,1320,22839,2561,124800,49640,1
392,24176,1275,76000,1679,88800,38941,3
508,13467,1048,57771,1983,71800,29159,1
1176,26083,1470,88000,1365,77800,53001,2
742,36459,1658,97208,246,37800,72369,2
1552,54487,1315,137000,2227,102800,34935,5
10725,471766,2485,38000,2710,517800,47701,5
586,37856,1420,9000,2988,198800,82801,1
684,36901,1430,22809,1861,135500,37912,2
792,8327,955,196950,553,20000,16438,5
1210,41483,1660,127886,1738,133800,32809,1
1202,33612,1644,67000,1373,85800,47501,1
680,19388,1563,37000,2619,126000,41503,2
1208,18244,1591,74000,2193,114800,41361,2
606,23980,1538,32947,2282,110800,40001,1
624,22566,1310,124000,946,49800,47020,3
1208,16755,1489,46000,2621,119800,49300,2
4361,268579,1514,53124,3078,385000,83464,4
1573,23514,1530,122000,2738,88888,47316,4
1202,45373,1465,58000,851,82800,59889,1
508,13923,1081,81000,798,34800,57301,3
508,20788,1203,73499,1893,78800,25000,1
1210,51807,1540,47000,2253,173800,40101,1
606,24008,1538,66277,2287,111800,40001,1
6860,182668,1845,56663,2988,236663,73954,4
1202,57888,1685,89000,1888,179800,30959,3
