Price,Road Tax,COE Left,Mileage,OMV,COE Price,Curb Weight,No. Of Owners
199900,1202.0,2198,60000,10.829570186872752,41805,1785.0,1
111888,742.0,2558,68825,9.84882015119382,45189,1280.0,4
1088,3552.0,3198,5000,12.345125641009684,82001,1715.0,1
98800,2382.0,607,123000,11.23943553921928,71509,1790.0,2
51800,738.0,1126,95000,9.421573272264558,52668,1345.0,2
135500,1202.0,1612,134000,10.735243837295544,39000,1525.0,1
68800,1792.0,1130,81000,10.285206266914292,56410,1475.0,2
120800,1792.0,1155,110000,10.596309680272128,56340,2000.0,3
53800,1815.0,977,142000,9.993648132244084,48479,1223.0,4
65800,1208.0,1309,149000,9.604744532724922,54406,1591.0,2
62800,684.0,1308,127400,9.73145290361031,51106,1046.0,2
42800,742.0,368,112123,9.8827234631834,55889,1205.0,1
278800,586.0,3321,130,10.538661281320572,146002,1725.0,1
84800,740.0,1218,72000,10.319760709360883,46229,1435.0,3
86888,78.0,2618,27000,9.679218367934409,23714,1030.0,1
122888,624.0,1496,21860,10.455963627557306,30209,1450.0,1
128888,740.0,1643,74900,10.593404521575788,42322,1505.0,2
80880,806.0,2227,130241,10.138796800749208,33140,1285.0,5
86800,1196.0,1370,82000,10.266114746634193,49802,1610.0,1
89888,624.0,1704,71213,9.946882234855318,33900,1288.0,1
51800,1196.0,365,81300,10.262978527734342,58109,1610.0,2
67800,682.0,1008,30000,10.26266436419218,55100,1520.0,2
11800,1033.0,373,150123,9.347054195292005,15287,1264.0,4
57000,1212.0,1008,129067,9.815311861632402,57903,1540.0,1
173800,1194.0,1252,118000,11.06278720615032,48209,1845.0,2
196800,682.0,2772,46000,10.348365663001127,50100,1700.0,2
31800,959.0,853,141366,9.597777277564957,19922,1232.0,4
95000,742.0,1463,123000,10.240388268775408,32809,1365.0,1
117500,742.0,2738,9207,9.834030287520909,49640,1280.0,1
57800,1636.0,977,150000,10.043249494911286,49156,1530.0,2
105800,684.0,1889,118241,10.188440905416652,31302,1324.0,1
76800,70.0,2560,9000,9.589461504744746,19534,945.0,1
33800,806.0,916,121000,9.979522238812123,21142,1377.0,6
76800,684.0,1335,82112,10.198877344056111,47501,1324.0,2
62888,1210.0,1253,105000,9.875190953381017,54501,1535.0,2
106888,3097.0,2742,106000,11.204659660239184,47316,1855.0,3
98800,1433.0,2653,163186,10.494961854184773,42683,1364.0,6
86888,744.0,2928,141000,10.215996374922929,46482,1286.0,5
83500,1194.0,976,66000,10.516589942087034,57010,1845.0,1
