Listing ID,Listing URL,Brand,Price,Depreciation,Road Tax,Registration Date,COE Left,Mileage,Manufacture Year,Transmission,Deregistration,OMV,ARF,COE Price,Engine Capacity,Power,Curb Weight,No. Of Owners,Vehicle Type
1239788,https://www.sgcarmart.com/used_cars/info.php?ID=1239788,Hyundai,11800,11220,1033,14-Nov-09,373,150123,2009,Auto,3217,11465,11355,15287,1591,89.7,1264,4,Mid-Sized Sedan
1236081,https://www.sgcarmart.com/used_cars/info.php?ID=1236081,Mazda,11800,12310,958,28-Sep-09,33,138280,2008,Auto,2819,18625,18625,14743,1498,77,1041,5,Hatchback
1239763,https://www.sgcarmart.com/used_cars/info.php?ID=1239763,Volkswagen,11900,18800,930,19-Jun-09,218,270000,2009,Auto,1765,21350,21350,13943,1390,90,1241,4,Hatchback
1237973,https://www.sgcarmart.com/used_cars/info.php?ID=1237973,Volkswagen,12800,12170,868,3-Nov-09,372,180000,2009,Auto,3208,25921,25921,15287,1390,125,1568,3,MPV
1239552,https://www.sgcarmart.com/used_cars/info.php?ID=1239552,Honda,13800,14070,826,6-Oct-09,32,185387,2008,Auto,2999,13130,13130,15287,1339,73,1030,5,Hatchback
1238554,https://www.sgcarmart.com/used_cars/info.php?ID=1238554,Kia,13800,15590,1033,21-Dec-09,7,187000,2009,Auto,2587,15221,15221,14664,1591,92.7,1232,5,Sports Car
1239088,https://www.sgcarmart.com/used_cars/info.php?ID=1239088,Nissan,13800,14270,958,3-Oct-09,36,175000,2009,Auto,2844,19004,19004,14743,1498,80,1175,3,Mid-Sized Sedan
1238092,https://www.sgcarmart.com/used_cars/info.php?ID=1238092,Kia,13998,13410,1033,29-Oct-09,369,175359,2009,Auto,3183,11051,11051,15287,1591,92.7,1251,5,Mid-Sized Sedan
1232762,https://www.sgcarmart.com/used_cars/info.php?ID=1232762,Kia,14800,12140,1033,4-Jan-10,432,183000,2009,Auto,3890,15498,15188,15988,1591,92.7,1232,6,Sports Car
1226653,https://www.sgcarmart.com/used_cars/info.php?ID=1226653,Kia,14800,12140,1033,6-Jan-10,432,177000,2009,Auto,3890,15642,15642,15988,1591,92.7,1232,6,Sports Car
1234218,https://www.sgcarmart.com/used_cars/info.php?ID=1234218,Toyota,14800,12190,1039,30-Dec-09,430,181828,2009,Auto,3872,17853,17853,15988,1598,80,1195,3,Mid-Sized Sedan
1235305,https://www.sgcarmart.com/used_cars/info.php?ID=1235305,Nissan,15200,14450,1694,12-Nov-09,372,66000,2009,Auto,3935,29624,29624,18751,1997,100,1450,1,Luxury Sedan
1239756,https://www.sgcarmart.com/used_cars/info.php?ID=1239756,Kia,16800,16360,738,18-Jul-14,274,137000,2014,Auto,9058,13674,8674,61990,1591,95.3,1295,1,Mid-Sized Sedan
1212733,https://www.sgcarmart.com/used_cars/info.php?ID=1212733,Proton,16800,12880,1039,5-Feb-10,462,133000,2010,Auto,4212,14114,14114,16184,1597,93,1422,2,MPV
1239727,https://www.sgcarmart.com/used_cars/info.php?ID=1239727,Volkswagen,17500,22880,624,30-May-14,216,119000,2014,Auto,6912,20925,6295,60002,1395,90,1249,2,Hatchback
1238088,https://www.sgcarmart.com/used_cars/info.php?ID=1238088,Honda,17800,14670,958,30-Dec-09,431,181000,2008,Auto,3881,24076,24076,15988,1497,88,1080,4,Hatchback
1173815,https://www.sgcarmart.com/used_cars/info.php?ID=1173815,Honda,17800,20110,826,29-Sep-09,8,140000,2009,Auto,2595,13920,13920,14664,1339,73,1010,4,Hatchback
