Price,Road Tax,COE Left,Mileage,OMV,COE Price,Curb Weight,No. Of Owners
89800,740,1311,110000,34702,54405,1430,1.0986122886681098
189800,1210,2066,64000,66093,34000,1615,0.6931471805599453
96800,682,2225,38000,23271,32000,1190,0.0
70800,740,821,76000,36424,60001,1425,0.6931471805599453
138800,2382,821,103000,96961,61103,1935,0.6931471805599453
197800,1210,2560,41938,44437,40690,1685,0.0
300000,2384,2615,47000,83021,39500,2135,0.6931471805599453
120800,624,1826,35900,23831,39728,1288,0.0
71800,740,1095,94000,24971,57508,1395,0.6931471805599453
253888,1200,1647,48300,76588,38801,1440,0.6931471805599453
129800,1176,1467,114000,38070,32809,1841,1.0986122886681098
115800,1210,2438,55200,21386,40009,1514,0.0
124888,1202,1310,98000,57731,53300,1615,0.0
137888,1210,1700,89000,41483,36000,1660,0.6931471805599453
41800,740,461,158200,29897,66010,1430,0.6931471805599453
95800,682,2462,33445,13891,33520,1085,0.0
188000,6036,2773,63000,118560,49716,1980,1.3862943611198906
209555,2362,1469,90000,79112,34381,1850,0.6931471805599453
146555,1210,1828,93854,47950,38602,1495,0.0
64800,1210,614,103000,38878,75000,1505,1.3862943611198906
85800,738,1860,51000,18163,28000,1287,0.0
77800,1638,829,86235,37090,57501,1775,0.0
45300,682,1102,126000,16629,51506,1321,1.0986122886681098
44800,508,732,103700,18984,56001,1222,1.0986122886681098
60800,1194,395,69000,40259,72003,1420,1.0986122886681098
73828,738,1706,65451,11602,36426,1295,0.0
76800,390,1523,76000,28219,38200,1355,1.3862943611198906
107800,682,2679,30000,22758,41996,1130,0.6931471805599453
155800,1210,1856,119000,53554,32302,1530,0.0
132800,586,1828,59000,34176,36001,1375,0.0
213800,1792,2102,29000,48189,47000,2045,0.0
275888,2258,2284,18500,61352,38000,1695,1.0986122886681098
41800,1628,491,65399,29172,75289,1574,0.0
160800,1198,2712,62400,35342,49001,1485,0.0
103800,1210,1919,78000,22494,31001,1480,0.0
137800,684,1864,45657,36709,31101,1520,0.0
64800,1210,1102,102600,23227,56410,1626,0.6931471805599453
54800,976,763,147000,29472,57501,1545,0.0
90800,578,2589,55000,16794,37334,1052,0.0
87800,3335,2198,120300,85250,37502,1850,1.0986122886681098
184800,1194,1463,50424,65380,49802,1845,0.0
184800,684,2197,47600,46412,35001,1635,0.0
148800,1210,2315,36600,39083,37500,1620,1.0986122886681098
67800,740,821,82000,33857,60001,1460,0.0
55800,506,1463,65000,13572,42902,940,0.0
266800,586,3436,5000,37049,95856,1610,0.0
77888,806,2227,208000,24909,33140,1285,1.791759469228055
201800,586,2765,48000,40341,47806,1555,0.0
44800,1210,7,40000,46786,74403,1615,0.6931471805599453
127800,1786,1492,61300,32742,33420,1898,0.0
89000,682,2283,75000,19194,35320,1130,0.0
37800,1467,948,166860,20861,46048,1219,0.0
21800,620,365,95000,19153,64900,1417,0.0
58800,6612,1528,115000,62900,51850,1775,0.6931471805599453
73800,508,2073,80000,13467,28589,1048,0.0
99000,1210,1829,48969,24412,31301,1626,0.0
116800,1169,3046,92000,54119,80583,1470,1.6094379124341003
96800,392,1833,25804,22065,31783,1190,0.0
89800,2514,2198,143000,59155,37502,1430,1.3862943611198906
152800,624,2220,42882,27819,41510,1545,0.0
17500,624,216,119000,20925,60002,1249,0.6931471805599453
160000,684,2621,42205,38813,49300,1430,0.0
60800,624,1343,103729,20318,42801,1249,0.6931471805599453
117800,684,1978,67345,30824,26659,1490,0.0
43800,1786,764,120000,26629,59889,1510,0.6931471805599453
97888,2335,2675,136000,40299,45586,1650,1.6094379124341003
101800,1792,761,40880,45427,57501,2075,0.0
73800,1210,822,118800,41373,50089,1615,0.0
53800,740,851,102350,25384,59200,1425,1.0986122886681098
73800,740,1098,96888,27886,51506,1430,0.0
45800,684,401,86800,26883,62101,1360,0.6931471805599453
40800,508,943,119800,18953,47300,1150,1.0986122886681098
78800,1636,1461,91200,19837,48109,1535,0.6931471805599453
91800,742,2102,88800,20881,26667,1230,0.0
58800,744,1099,98988,13492,42900,1449,1.0986122886681098
179800,1210,2707,33100,41367,46790,1490,0.0
76800,682,1678,68800,19427,36426,1130,0.6931471805599453
38999,738,730,133000,18185,56001,1295,0.6931471805599453
41800,1208,732,101800,14948,60001,1566,0.6931471805599453
43800,684,886,128200,16698,45000,1046,1.0986122886681098
185588,1792,1885,52503,36300,31001,1940,0.6931471805599453
86800,1792,1103,137000,40888,56340,1615,0.0
69800,1210,1467,96000,17222,49012,1532,0.6931471805599453
