Brand,Price,Depreciation,Road Tax,Registration Date,COE Left,Mileage,Manufacture Year,Transmission,Deregistration,OMV,ARF,COE Price,Engine Capacity,Power,Curb Weight,No. Of Owners,Vehicle Type
BMW,45800,17150,684,30-Sep-2015,404,111000,2015,Auto,25177,26376,23927,61010,1499,100.0,1360,3,Hatchback
Volkswagen,14000,13460,620,14-May-2014,213,115000,2013,Auto,9586,21478,12070,60002,1390,90.0,1417,2,Mid-Sized Sedan
Nissan,44800,13870,508,28-Oct-2016,1102,88000,2016,Auto,18799,14938,5000,50991,1198,72.0,1081,1,Hatchback
BMW,75800,17820,684,01-Feb-2017,1186,90800,2016,Auto,40186,33244,33542,55501,1499,100.0,1550,2,MPV
Volkswagen,39888,15910,624,29-Dec-2015,798,110000,2015,Auto,17545,19158,9158,54301,1395,90.0,1249,2,Hatchback
Volkswagen,112800,15530,976,31-Dec-2019,2250,59000,2019,Auto,46536,28711,32196,37989,1798,132.0,1480,2,Luxury Sedan
Hyundai,60800,14070,738,24-Aug-2017,1098,95000,2017,Auto,26363,12698,12698,46778,1591,93.8,1345,1,Mid-Sized Sedan
Volkswagen,82800,14890,624,31-Aug-2018,1460,77500,2018,Auto,29885,19883,19883,32809,1395,92.0,1270,1,Hatchback
Honda,58800,15740,684,09-Feb-2017,1194,98200,2016,Auto,25188,17647,12647,50889,1498,96.0,1046,1,Hatchback
Mercedes-Benz,58800,24050,1202,02-Jun-2015,577,97000,2015,Auto,32157,40369,38517,66751,1991,135.0,1465,1,Luxury Sedan
Audi,96800,15130,3772,03-Mar-2010,2310,53000,2009,Auto,22657,53747,53747,35416,3197,195.0,1570,5,Sports Car
Mercedes-Benz,200988,22820,586,23-Aug-2021,2557,28000,2021,Auto,67991,36284,42798,45600,1332,96.0,1550,1,SUV
Honda,37800,16300,682,29-Oct-2015,738,128000,2015,Auto,16990,18719,8719,57301,1496,96.0,1190,1,SUV
Volkswagen,33800,15990,508,21-Aug-2015,365,130000,2015,Auto,14893,18038,8038,56209,1197,77.0,1229,3,Hatchback
Toyota,13800,11470,958,23-Dec-2009,427,180000,2009,Auto,3846,12717,12717,15988,1497,80.0,1095,4,Mid-Sized Sedan
Mercedes-Benz,103800,18580,740,26-Jun-2018,1705,61500,2018,Auto,41109,28937,32512,38941,1595,90.0,1435,4,Hatchback
Jaguar,284000,34610,1210,08-Aug-2020,2468,21800,2019,Auto,95288,68448,95207,34989,1997,221.0,1596,3,Sports Car
Mercedes-Benz,55000,41980,740,27-Oct-2014,371,103098,2014,Auto,18757,28669,22137,62890,1595,90.0,1430,2,Luxury Sedan
Mercedes-Benz,64900,24590,740,03-Sep-2015,368,93448,2015,Auto,31568,35294,36412,60789,1595,115.0,1425,1,Luxury Sedan
Mercedes-Benz,48200,17830,740,05-Nov-2015,735,128000,2015,Auto,24997,25384,22538,55399,1595,90.0,1425,3,Hatchback
Toyota,46200,15190,742,04-Mar-2016,851,103859,2015,Auto,22937,19589,19589,46651,1598,90.0,1205,2,Mid-Sized Sedan
Nissan,44588,14950,742,19-Mar-2016,888,95030,2015,Auto,21145,16283,16283,46651,1598,85.0,1205,3,Mid-Sized Sedan
Mazda,97500,12900,682,12-Aug-2020,2191,54126,2019,Auto,36483,18543,18543,33000,1496,85.0,1067,1,Hatchback
Toyota,103800,13710,682,26-Oct-2020,2560,20919,2020,Auto,37109,14402,14402,37334,1496,79.0,1085,1,Mid-Sized Sedan
Mazda,126500,17150,1210,22-Jun-2020,2431,42692,2019,Auto,37469,22250,23150,32500,1998,121.0,1576,1,SUV
Volkswagen,30800,14550,508,12-Aug-2015,366,84500,2015,Auto,14784,18093,8093,56209,1197,77.0,1229,1,Hatchback
Mazda,120988,16650,1210,31-Mar-2020,2340,72000,2020,Auto,40829,24570,26398,32500,1998,121.0,1576,1,SUV
Honda,41100,15280,682,19-Feb-2016,858,131318,2015,Auto,16645,20020,10028,45002,1496,96.0,1190,2,SUV
Suzuki,65800,10220,952,17-Mar-2010,2346,113000,2009,Auto,21371,13720,13720,33207,1490,74.0,1060,4,Hatchback
BMW,69500,17930,684,28-Nov-2016,1132,92000,2016,Auto,35096,28279,26591,56889,1499,100.0,1360,2,Sports Car
Volvo,55100,19710,1796,24-Dec-2014,428,101836,2013,Auto,43129,50373,62672,72201,2497,154.0,2094,2,SUV
BMW,57800,22640,1210,27-Feb-2015,491,73170,2014,Auto,38353,43529,52941,66751,1997,135.0,1680,1,SUV
Toyota,113200,14310,508,15-Sep-2020,2224,42678,2018,Auto,47117,25647,27906,37766,1197,85.0,1385,1,SUV
Mercedes-Benz,76900,22530,740,17-May-2016,946,112917,2016,Auto,36270,35465,36651,54920,1595,115.0,1425,2,Luxury Sedan
Toyota,101800,19950,1210,28-Nov-2017,1497,89511,2017,Auto,47712,33308,38632,49996,1998,170.0,1695,2,SUV
BMW,89900,13590,2514,21-May-2010,2400,145000,2010,Auto,22201,41108,41108,33568,2497,150.0,1650,3,Luxury Sedan
Toyota,94800,12570,1557,25-Apr-2011,2739,157000,2010,Auto,35688,25004,25004,47316,1987,116.0,1395,3,MPV
Mitsubishi,48800,17020,1636,17-Mar-2016,886,105000,2014,Auto,22263,14804,14804,55001,2360,123.0,1520,2,SUV
BMW,39888,22640,742,31-Oct-2014,365,31050,2014,Auto,25127,35634,31888,72201,1598,125.0,1410,1,Luxury Sedan
Toyota,124800,26020,1638,10-Oct-2017,1134,80500,2016,Auto,46097,35288,41404,48005,2362,125.0,1790,2,MPV
Honda,47300,11420,885,30-Jan-2008,1490,139298,2007,Auto,17396,11254,12380,41994,1339,73.0,1010,4,Hatchback
Kia,12800,13120,1033,08-Oct-2009,30,175000,2009,Auto,2876,11217,11217,14743,1591,92.7,1251,6,Mid-Sized Sedan
Porsche,358800,79050,2364,20-Jan-2017,1194,60000,2016,Auto,146788,126159,199087,53001,2981,272.0,1450,3,Sports Car
Mazda,58988,9870,1039,24-Nov-2009,1855,144000,2009,Auto,17626,21775,21775,29485,1598,77.0,1291,4,Hatchback
Mazda,58800,17120,1786,23-May-2016,942,46000,2016,Auto,30140,25706,27989,51010,2488,141.0,1531,1,Stationwagon
Porsche,225000,28200,3682,12-Jul-2012,2585,149500,2012,Auto,46372,90048,90048,58124,3436,232.0,1425,4,Sports Car
Honda,51000,13050,1815,06-Sep-2007,1101,141000,2007,Auto,19673,24053,26459,50355,1997,110.0,1540,3,SUV
Toyota,83000,13970,682,19-Mar-2019,1983,23800,2019,Auto,24691,13936,13936,26170,1496,79.0,1085,2,Mid-Sized Sedan
Honda,106800,23180,682,02-Oct-2017,1126,81000,2017,Auto,38021,26529,29141,48005,1496,110.0,1670,1,MPV
Volkswagen,165500,20500,1194,30-Oct-2020,2564,46453,2020,Auto,59657,35470,41658,40301,1984,169.0,1408,1,Sports Car
Mercedes-Benz,378000,44150,7440,21-Jun-2012,3100,104000,2012,Auto,76080,185909,185909,88862,5439,373.0,2580,5,SUV
Kia,53800,14920,1212,17-Jun-2016,976,93326,2015,Auto,31512,25328,27460,56000,1999,120.0,1585,2,Luxury Sedan
Audi,145900,32690,2380,14-Sep-2016,763,60000,2016,Auto,76869,71272,100290,57002,2995,245.0,2105,2,SUV
BMW,28500,18110,742,28-Aug-2014,7,92000,2014,Auto,18921,30751,25052,72810,1598,100.0,1405,4,Luxury Sedan
Subaru,63200,16750,2625,19-Jul-2007,1373,156638,2007,Manual,19796,17038,18742,52473,2457,169.0,1405,5,Sports Car
Volvo,63800,18020,1176,14-Jul-2016,1003,141000,2016,Auto,32381,25841,28178,56089,1969,180.0,1672,2,Luxury Sedan
Toyota,285800,33250,1792,24-May-2021,2768,35000,2021,Auto,92269,51549,64789,63002,2493,134.0,2030,1,MPV
BMW,107800,21280,1210,22-Sep-2017,1126,102000,2017,Auto,52076,43194,47472,53711,1998,135.0,1540,2,Luxury Sedan
Land,329000,33300,1210,18-Apr-2022,3107,12619,2021,Auto,151480,65624,90124,98389,1997,184.0,1983,1,SUV
BMW,43800,21470,742,13-May-2015,577,99700,2014,Auto,22991,26701,19382,77600,1598,100.0,1405,2,Luxury Sedan
BMW,85800,38430,2362,27-Jun-2014,246,104920,2013,Auto,63207,80470,116846,67334,2979,225.0,2070,2,SUV
Mercedes-Benz,127800,18260,740,27-Dec-2019,2256,75000,2019,Auto,41903,26150,28610,32889,1595,90.0,1435,2,SUV
Nissan,51800,16150,742,24-Jun-2016,973,54000,2015,Auto,24289,16283,16283,53694,1598,85.0,1205,1,Mid-Sized Sedan
Porsche,398800,44030,2380,28-Apr-2021,2742,22283,2021,Auto,138940,89301,132742,52200,2995,250.0,1985,2,SUV
MG,129800,16850,680,25-Nov-2020,2589,40000,2020,Auto,43814,19388,19388,41503,1490,119.0,1563,2,SUV
Mazda,76800,16750,1210,06-Nov-2017,1466,113000,2017,Auto,31538,17141,17141,48005,1998,111.0,1532,1,MPV
Mercedes-Benz,99800,23030,1202,15-Dec-2016,1159,66000,2016,Auto,52459,43644,53102,56410,1991,135.0,1465,2,Luxury Sedan
Honda,33800,12800,1467,17-Jul-2006,941,163000,2006,Auto,12162,21245,23370,46048,1799,103.0,1219,3,Mid-Sized Sedan
Mercedes-Benz,155800,22890,740,27-Aug-2019,1831,66000,2018,Auto,54889,35914,42280,39406,1595,115.0,1490,2,Luxury Sedan
Toyota,61500,14850,2457,04-Jan-2008,1490,140269,2007,Auto,20782,30659,33725,50168,2362,125.0,1770,5,MPV
BMW,96800,17170,684,25-Apr-2018,1644,93500,2018,Auto,44450,32596,37635,39903,1499,75.0,1480,1,MPV
Jaguar,160800,23340,1210,29-Jul-2019,2103,31000,2019,Auto,60924,41972,50761,39889,1997,184.0,1832,1,SUV
Jaguar,180800,22850,1210,23-Jul-2020,2462,40000,2019,Auto,62374,42518,51526,35001,1997,184.0,1832,2,SUV
Mercedes-Benz,182800,17900,586,21-Nov-2022,3315,15500,2022,Auto,108866,33622,39071,87235,1332,96.0,1380,1,Luxury Sedan
Hyundai,31800,13140,738,19-Aug-2015,373,125000,2015,Auto,18582,14802,14802,56209,1591,97.0,1292,3,Mid-Sized Sedan
Mazda,39500,12390,682,30-Jun-2016,979,92500,2016,Auto,21977,16600,11600,55200,1496,88.0,1321,3,Mid-Sized Sedan
Kia,87800,14320,738,03-Apr-2019,1978,42000,2018,Auto,28382,18612,18612,26309,1591,93.8,1287,1,Mid-Sized Sedan
Toyota,36988,13170,1458,10-Oct-2006,1001,167000,2006,Auto,14499,18632,20496,51630,1794,97.0,1300,3,MPV
Nissan,15400,14520,1694,12-Nov-2009,366,66000,2009,Auto,3976,29624,29624,18751,1997,100.0,1450,1,Luxury Sedan
BMW,95800,24770,2382,11-Jun-2015,605,90000,2014,Auto,72433,76072,108930,78001,2996,190.0,1790,2,Luxury Sedan
Honda,33000,12870,767,04-May-2011,913,70500,2009,Auto,11319,19331,19331,22069,1339,73.0,1090,3,Hatchback
Mercedes-Benz,44800,21810,740,27-Apr-2015,551,85000,2014,Auto,22824,28719,22207,68668,1595,115.0,1435,3,SUV
Nissan,39800,15130,508,17-Dec-2015,796,110000,2015,Auto,20316,18454,13454,56001,1197,85.0,1285,3,SUV
Mercedes-Benz,239800,24510,586,10-Jun-2022,3130,14000,2020,Auto,121507,44721,54610,100697,1332,120.0,1555,1,SUV
Jaguar,171800,20920,1210,04-Mar-2021,2676,13600,2019,Auto,58774,29975,33965,45001,1997,147.0,1757,1,SUV
Mitsubishi,58800,17350,1636,14-Jul-2016,1003,82000,2015,Auto,26806,21335,21869,49602,2360,123.0,1530,2,SUV
Hyundai,63900,13690,608,27-Feb-2018,1586,63600,2017,Auto,21624,7790,7790,36890,1368,73.6,1115,2,Mid-Sized Sedan
Toyota,59800,20080,1196,14-Jan-2016,823,80000,2015,Auto,29681,29802,28723,55001,1986,111.0,1610,4,SUV
Nissan,87800,15290,508,03-Nov-2018,1828,34900,2018,Auto,29843,20399,20559,28457,1197,85.0,1325,1,SUV
Honda,59999,15790,742,07-Dec-2016,1131,100897,2016,Auto,30006,20173,20243,53334,1597,92.0,1249,2,Mid-Sized Sedan
Subaru,47822,16240,1208,31-Mar-2016,880,115633,2016,Auto,20733,15402,15402,46502,1995,110.0,1566,3,SUV
Toyota,69800,15130,2457,21-May-2008,1670,120311,2008,Auto,17861,25270,25270,38712,2362,125.0,1780,3,MPV
Honda,23800,12050,767,19-Oct-2010,395,106606,2008,Manual,6546,19409,19409,16570,1339,73.0,1060,3,Hatchback
Maserati,276000,39510,2362,01-Apr-2019,1976,32600,2018,Auto,111016,81812,119262,41000,2979,257.0,1850,2,Luxury Sedan
Hyundai,23800,14300,738,11-Dec-2014,425,122000,2014,Auto,15625,14140,14140,67089,1591,97.0,1292,3,Mid-Sized Sedan
Porsche,88888,22030,3027,23-Oct-2007,1462,163000,2007,Auto,20360,57485,63234,50451,2687,180.0,1360,5,Sports Car
Mercedes-Benz,105800,17810,740,08-Jan-2019,1893,93000,2017,Auto,30810,23275,24585,23568,1595,90.0,1425,1,Hatchback
Lexus,139800,20890,1198,25-Jun-2019,2069,53000,2019,Auto,51258,35007,41010,35906,1987,127.0,1485,1,SUV
Toyota,72000,44710,1638,28-Oct-2014,372,123000,2014,Auto,35161,41542,50159,72180,2362,125.0,1920,2,MPV
Toyota,62800,18950,1196,13-Apr-2016,912,66000,2015,Auto,30122,31118,30566,47000,1986,111.0,1610,3,SUV
Mercedes-Benz,119800,18970,586,11-Mar-2019,1975,57500,2018,Auto,40924,29975,33965,28510,1332,100.0,1365,1,Hatchback
Hyundai,59800,11490,1815,23-Dec-2008,1887,240000,2008,Auto,16425,18217,18217,31553,1998,120.7,1552,5,Luxury Sedan
Audi,31800,18110,976,28-Nov-2014,402,116000,2014,Auto,20528,28946,22525,72201,1798,125.0,1545,3,Luxury Sedan
Mitsubishi,125500,16070,684,11-Aug-2020,2190,65500,2019,Auto,47370,28033,31247,35001,1499,120.0,1490,1,SUV
Mercedes-Benz,90999,12170,890,21-Oct-2011,2706,166599,2011,Auto,30951,31019,31019,41397,1597,115.0,1500,6,Luxury Sedan
Mazda,90800,12620,682,27-Mar-2020,2346,51000,2019,Auto,34069,18530,18530,31210,1496,85.0,1067,1,Hatchback
Mercedes-Benz,32800,21420,740,15-Oct-2014,369,111000,2014,Auto,19590,28689,22165,72990,1595,115.0,1435,2,SUV
Audi,25800,16180,624,26-Nov-2014,400,90000,2014,Auto,15953,27195,15073,67889,1395,92.0,1310,2,Luxury Sedan
Honda,43800,14900,682,20-May-2016,949,86000,2016,Auto,17798,19894,9894,46667,1496,96.0,1190,4,SUV
Mercedes-Benz,43988,17910,740,31-Jul-2015,635,117500,2015,Auto,25013,25919,23287,67601,1595,90.0,1425,1,Hatchback
Mercedes-Benz,227988,22860,586,12-Aug-2022,2921,6600,2019,Auto,111617,42598,51638,91112,1332,120.0,1610,1,SUV
Jaguar,113800,33840,2380,11-Feb-2015,485,65000,2014,Auto,84812,91631,136936,70890,2995,280.0,1647,2,Sports Car
Porsche,405800,42810,4002,17-Apr-2013,3436,106000,2012,Auto,101351,139228,139228,106916,3800,294.0,1490,4,Sports Car
Toyota,114800,25880,1638,31-May-2017,1305,63322,2016,Auto,46499,35221,41310,54000,2362,125.0,1800,2,MPV
Kia,13800,15450,1033,21-Dec-2009,1,187000,2009,Auto,2619,15221,15221,14664,1591,92.7,1232,5,Sports Car
Mercedes-Benz,62888,21770,740,29-Oct-2015,738,108000,2015,Auto,34599,35294,36412,62140,1595,115.0,1425,2,Luxury Sedan
Mitsubishi,68888,16050,280,25-Jan-2018,1554,75000,1972,Auto,1845,3400,3400,4297,1597,73.5,930,3,Sports Car
Lexus,73800,24240,1210,09-Oct-2015,403,72900,2015,Auto,40317,41966,50753,62101,1998,175.0,1755,2,Luxury Sedan
Honda,101800,15040,742,11-Nov-2019,2220,58268,2019,Auto,35997,20275,20385,34001,1597,92.0,1237,1,Mid-Sized Sedan
Mitsubishi,31800,17730,1636,28-Jan-2015,462,135514,2014,Auto,19055,17450,17450,73900,2360,123.0,1520,3,SUV
Kia,70999,13550,738,07-Jun-2018,1677,80599,2017,Auto,28934,15696,15696,38510,1591,95.3,1295,2,Mid-Sized Sedan
BMW,33600,17890,684,10-Feb-2015,455,74000,2014,Auto,20129,26690,19366,70890,1499,100.0,1360,1,Hatchback
Nissan,49800,15810,508,29-Jun-2016,978,120000,2016,Auto,23216,18689,13689,55200,1197,85.0,1285,1,SUV
Ferrari,699000,73100,5201,31-May-2013,3465,35000,2013,Auto,105128,411566,411566,109948,4497,416.0,1565,5,Sports Car
Audi,28800,16980,1672,21-Jun-2010,605,86700,2010,Auto,5693,44489,44489,16784,1984,125.0,1550,2,Luxury Sedan
Mitsubishi,55800,13240,506,19-Oct-2017,1468,83000,2017,Auto,20766,13666,5000,42900,1193,59.0,940,2,Mid-Sized Sedan
Mercedes-Benz,97800,12940,1266,01-Aug-2011,2735,146000,2011,Auto,35766,53826,53826,47316,1796,150.0,1650,4,Luxury Sedan
Mercedes-Benz,45800,22290,1202,27-Aug-2014,6,162000,2014,Auto,32240,46713,52399,68689,1991,155.0,1680,3,Luxury Sedan
Mitsubishi,72800,12020,506,14-Aug-2019,1828,39726,2019,Auto,19341,13930,5000,26667,1193,59.0,940,1,Mid-Sized Sedan
Chevrolet,39800,12060,742,29-Jun-2016,978,98000,2016,Auto,23004,14052,14052,55100,1598,86.0,1413,2,Mid-Sized Sedan
Mercedes-Benz,229800,30740,2382,22-Apr-2019,2006,40000,2018,Auto,109971,81863,119354,36961,2996,287.0,1705,1,Sports Car
Suzuki,139800,15290,662,24-May-2022,3133,15000,2022,Auto,70916,15781,15781,68501,1462,75.0,1110,1,SUV
Lexus,147800,22410,1210,10-Apr-2019,1975,75000,2019,Auto,60518,40767,49074,43102,1998,175.0,1755,2,SUV
Lexus,72800,21720,1792,22-Feb-2016,851,108000,2016,Auto,34735,36191,42668,44001,2494,135.0,1615,2,Luxury Sedan
Toyota,45800,16960,976,20-Nov-2015,769,88112,2015,Auto,24118,19953,19953,57501,1798,105.0,1360,1,MPV
Mercedes-Benz,66666,21420,740,12-Jan-2016,821,159500,2015,Auto,35480,35428,36600,59889,1595,115.0,1425,3,Luxury Sedan
Honda,11800,12170,826,29-Sep-2009,38,145210,2009,Auto,2860,14364,12954,14743,1339,73.0,1010,3,Hatchback
Toyota,41800,24970,1196,30-Dec-2014,434,108000,2014,Auto,21423,28979,22571,73990,1986,111.0,1610,1,SUV
Honda,42800,16520,682,01-Feb-2016,821,107158,2015,Auto,15922,19193,9193,45002,1496,96.0,1190,1,SUV
Toyota,33800,22150,1196,19-Sep-2014,38,105438,2014,Auto,19806,31322,25851,73010,1986,111.0,1610,2,SUV
Subaru,79800,17970,1210,29-Sep-2017,1133,95000,2017,Auto,31235,16906,16906,51000,1998,177.0,1682,2,SUV
Toyota,116800,19300,1210,30-Nov-2018,1864,77000,2018,Auto,42414,30806,35129,32552,1998,170.0,1695,2,SUV
Honda,50800,15650,682,06-Oct-2016,765,88000,2015,Auto,20204,18014,8014,51506,1496,97.0,1130,2,Stationwagon
Mercedes-Benz,164999,24920,1202,18-Apr-2019,2012,71888,2018,Auto,62784,44782,54695,39401,1991,155.0,1735,1,SUV
Toyota,61800,17260,974,29-Sep-2016,768,95000,2016,Auto,29684,20753,21055,57501,1797,105.0,1350,2,MPV
Toyota,94999,13010,682,17-Jul-2020,2466,53388,2020,Auto,33111,13891,13891,33520,1496,79.0,1085,1,Mid-Sized Sedan
Honda,55800,14740,578,23-May-2017,1307,100000,2016,Auto,21732,14798,5000,51106,1317,73.0,1020,2,Hatchback
Aston,678800,80610,3922,22-Jan-2020,2281,10000,2017,Auto,280577,206645,343961,37989,3982,375.0,1760,1,Sports Car
Hyundai,58888,19880,3602,16-Jun-2015,610,114888,2014,Auto,40610,42070,50898,75000,3778,232.0,1890,3,Luxury Sedan
Kia,84800,13570,738,25-Jun-2019,2069,82509,2018,Auto,31903,14596,14596,36704,1591,93.8,1287,1,Mid-Sized Sedan
Honda,39800,16550,682,29-Sep-2015,403,83000,2015,Auto,20016,19398,14398,61410,1496,96.0,1210,1,SUV
Opel,49800,13330,626,04-Apr-2017,1249,67000,2016,Auto,22086,16770,6770,50789,1398,64.0,1045,1,Hatchback
Honda,57800,16050,682,03-Nov-2016,1098,85000,2016,Auto,26500,21562,17187,50000,1496,96.0,1185,2,SUV
BMW,98800,12250,890,14-Nov-2011,2921,104996,2011,Auto,37479,31931,31931,46482,1598,125.0,1315,4,Hatchback
Audi,32800,16740,624,14-Apr-2015,548,138000,2014,Auto,18517,27195,15073,67749,1395,92.0,1310,3,Luxury Sedan
BMW,107000,15520,3071,08-Nov-2010,2191,123000,2010,Auto,22697,69553,69553,32914,2979,225.0,2070,5,SUV
Honda,163888,29480,1208,28-Jun-2018,1707,83000,2018,Manual,53132,41155,49617,39001,1996,228.0,1391,2,Sports Car
Mazda,31800,16580,1210,22-May-2015,576,99999,2015,Auto,18136,20063,10089,78001,1998,121.0,1454,2,Luxury Sedan
Mercedes-Benz,55500,18910,740,05-Jan-2016,795,104332,2015,Auto,28210,28107,26350,55399,1595,90.0,1430,4,Luxury Sedan
Honda,70800,14660,578,30-May-2018,1679,52800,2018,Auto,21523,15567,5567,38000,1318,73.0,1052,1,Hatchback
Ferrari,358800,49050,5738,08-Mar-2011,2646,68000,2011,Auto,31223,285582,285582,42683,4297,338.0,1780,6,Sports Car
Lexus,129800,26880,1210,31-Mar-2017,1245,58000,2015,Auto,65835,56101,72982,53001,1998,175.0,1995,1,SUV
Nissan,69500,12850,508,26-Dec-2018,1890,78000,2018,Auto,16038,13438,5000,23568,1198,58.0,1048,1,Hatchback
Mitsubishi,8800,15820,1026,19-May-2009,180,135000,2009,Auto,1456,17926,17926,13088,1499,80.0,1313,6,Mid-Sized Sedan
Nissan,75000,13460,508,31-Jul-2018,1730,89999,2018,Auto,30114,20399,20559,32699,1197,85.0,1325,2,SUV
Honda,71888,14680,682,16-May-2018,1675,65000,2018,Auto,23986,18749,8749,38830,1496,97.0,1130,2,Stationwagon
Mercedes-Benz,36888,26910,740,08-Oct-2014,37,124688,2014,Auto,16658,27318,20246,65710,1595,90.0,1430,3,Luxury Sedan
BMW,159800,17420,684,01-Oct-2021,2585,13227,2021,Auto,85640,35415,41581,70002,1499,100.0,1375,2,Luxury Sedan
BMW,175000,18910,684,27-Sep-2021,2591,26047,2021,Auto,90964,40515,48721,68310,1499,100.0,1435,1,SUV
BMW,83800,28270,2362,30-Dec-2015,799,135796,2015,Auto,37396,35685,41959,55001,2979,240.0,1445,4,Sports Car
Mercedes-Benz,137800,21610,740,28-Feb-2019,1952,84396,2018,Auto,50578,36172,42641,34509,1595,115.0,1490,1,Luxury Sedan
Honda,20800,15850,955,12-Feb-2010,456,146018,2008,Auto,4248,21176,21176,16184,1496,87.0,1300,3,MPV
Toyota,56300,15840,742,05-Oct-2016,764,45000,2016,Auto,24914,17982,17982,47300,1598,90.0,1205,2,Mid-Sized Sedan
Nissan,28800,17400,1210,20-Dec-2014,434,199000,2014,Auto,17701,20733,16027,74389,1997,106.0,1379,2,SUV
Toyota,78800,14750,742,12-Jun-2018,1701,39707,2018,Auto,31818,19741,19741,38510,1598,96.0,1230,1,Mid-Sized Sedan
Toyota,80800,21050,1196,13-Sep-2016,762,81700,2016,Auto,39744,33172,38441,57002,1986,111.0,1610,1,SUV
Honda,78800,13570,578,14-May-2019,2038,80288,2019,Auto,22886,15750,5750,33199,1318,73.0,1052,2,Hatchback
Mercedes-Benz,92800,19330,740,27-Nov-2017,1496,71000,2017,Auto,35816,27747,25846,42900,1595,90.0,1435,2,Hatchback
Honda,45800,15670,682,25-Feb-2016,854,85000,2015,Auto,20931,21463,17049,45002,1496,96.0,1210,2,SUV
Honda,107800,15160,742,24-Mar-2020,2343,21256,2019,Auto,35981,19833,19833,32699,1597,92.0,1237,1,Mid-Sized Sedan
Honda,26800,17090,684,09-Mar-2015,491,93000,2015,Auto,12269,15374,5374,66010,1498,96.0,1046,2,Hatchback
Toyota,41800,23630,1638,15-Oct-2014,369,120000,2014,Auto,26933,31214,35700,71990,2362,125.0,1790,2,MPV
Mercedes-Benz,115800,21650,740,07-Feb-2018,1557,69000,2017,Auto,50499,37239,44135,45289,1595,115.0,1425,1,Luxury Sedan
Honda,99888,13650,578,10-Nov-2020,2555,48000,2020,Auto,30257,16331,6331,35990,1317,72.0,1070,1,Hatchback
Toyota,123800,13980,506,13-Jun-2022,3162,14900,2022,Auto,67805,15701,5000,73801,1196,64.0,970,1,SUV
Audi,100888,14700,1672,20-Aug-2010,2199,90000,2010,Auto,22589,51856,51856,32914,1984,147.0,1280,3,Sports Car
Toyota,70800,13870,682,23-May-2018,1672,85137,2018,Auto,27407,13456,13456,38941,1496,79.0,1085,2,Mid-Sized Sedan
BMW,39888,19610,742,13-Apr-2015,547,88000,2014,Auto,22912,27620,20668,76612,1598,100.0,1405,3,Luxury Sedan
BMW,192000,21010,1210,23-Aug-2021,2557,23547,2021,Auto,87994,43789,53305,61001,1998,115.0,1490,1,Luxury Sedan
Lexus,155800,23100,1210,15-Jun-2019,2069,45003,2019,Auto,64086,40767,49074,48010,1998,175.0,1755,1,SUV
Mazda,35800,14480,682,24-Nov-2015,763,119830,2015,Auto,17921,15091,10091,55889,1496,88.0,1321,2,Mid-Sized Sedan
Ford,53800,15210,684,25-May-2016,944,140000,2015,Auto,30078,25599,27839,51010,1498,118.0,1495,1,Hatchback
Honda,48800,14800,684,25-Aug-2016,734,87666,2016,Auto,22754,17537,12537,53000,1497,88.0,1096,1,Mid-Sized Sedan
Mazda,39800,12960,682,14-Jun-2016,973,110315,2016,Auto,18713,15211,10211,47020,1496,85.0,1079,1,Mid-Sized Sedan
Mitsubishi,39800,13330,506,28-Jul-2016,1007,89000,2016,Auto,16385,14513,5000,49000,1193,57.0,940,2,Mid-Sized Sedan
Mazda,81000,15830,1210,27-Apr-2018,1646,80000,2018,Auto,30340,18003,18003,39001,1998,121.0,1472,2,Luxury Sedan
Mercedes-Benz,123888,21920,740,30-May-2018,1679,91000,2018,Auto,48297,37480,44472,37010,1595,115.0,1425,2,Luxury Sedan
Mazda,58588,14140,682,30-May-2017,1314,68000,2017,Auto,26250,19382,14382,46489,1496,88.0,1331,2,Mid-Sized Sedan
Toyota,63800,13920,682,22-Dec-2017,1521,81055,2017,Auto,25256,15677,10677,42339,1496,79.0,1100,2,Mid-Sized Sedan
Porsche,333888,46180,4729,07-Apr-2011,2616,127138,2011,Auto,29437,140994,140994,40714,3800,300.0,1525,4,Sports Car
Mazda,19000,17010,1210,18-Aug-2014,7,138000,2014,Auto,10013,18914,8914,65001,1998,114.0,1438,3,Luxury Sedan
Mazda,42800,14700,682,30-Mar-2016,889,66000,2015,Auto,19036,18006,13006,45504,1496,88.0,1321,2,Mid-Sized Sedan
BMW,102800,18740,684,28-Feb-2018,1587,102000,2018,Auto,47545,35132,41185,44000,1499,103.0,1430,1,SUV
Mercedes-Benz,87800,22120,740,23-Nov-2016,1127,94000,2016,Auto,42358,36112,37557,57508,1595,115.0,1425,2,Luxury Sedan
MINI,78800,12830,1039,30-Nov-2009,2229,93000,2009,Auto,19911,30742,30742,32416,1598,88.0,1205,3,Sports Car
Kia,64800,10700,1033,30-Oct-2009,2199,138000,2009,Auto,18520,11051,11051,30574,1591,92.7,1251,2,Mid-Sized Sedan
Kia,54800,14190,738,03-Jan-2017,1158,82000,2016,Auto,27134,17871,17871,48000,1591,95.3,1295,1,Mid-Sized Sedan
Hyundai,73800,14010,738,14-Aug-2018,1463,78000,2018,Auto,24654,11819,11819,33798,1591,93.8,1345,2,Mid-Sized Sedan
