Brand,Price,Depreciation,Road Tax,Registration Date,COE Left,Mileage,Manufacture Year,Transmission,Deregistration,OMV,ARF,COE Price,Engine Capacity,Power,Curb Weight,No. Of Owners,Vehicle Type
Honda,25800,19560,682,21-Nov-2014,395,80000,2014,Auto,11623,17987,7987,64841,1496,96.0,1180,2,SUV
BMW,104888,23580,1210,28-Apr-2017,1282,98000,2017,Auto,46904,36045,42463,54405,1997,135.0,1680,2,SUV
Nissan,41999,15760,1210,29-Oct-2015,738,128000,2015,Auto,23541,19333,19333,58190,1997,106.0,1379,2,SUV
BMW,263800,33380,2384,29-Nov-2019,2228,29000,2019,Auto,112889,80981,117766,40009,2998,250.0,2153,2,SUV
Hyundai,97800,14890,600,13-Sep-2019,1857,56750,2019,Auto,30065,19007,19007,26667,1353,95.6,1240,2,Hatchback
Jaguar,120800,16240,1210,28-Feb-2020,2317,65000,2018,Auto,46542,30073,34103,33301,1997,147.0,1679,2,Luxury Sedan
Nissan,17800,12470,684,29-Oct-2014,373,92000,2014,Auto,11880,14360,9360,63990,1498,73.0,1040,2,Mid-Sized Sedan
Volkswagen,149800,18820,624,14-Sep-2020,2223,48000,2020,Auto,57834,33392,38749,41510,1395,110.0,1660,1,SUV
BMW,298800,28560,1210,19-Oct-2022,3293,8500,2021,Auto,137428,61005,81809,105001,1998,180.0,1545,1,Sports Car
BMW,206800,35820,4568,25-Jan-2017,1189,81400,2016,Auto,132876,114261,177670,52807,4395,330.0,1865,1,Luxury Sedan
Honda,176000,21600,1630,17-Feb-2021,2681,60000,2020,Auto,61543,30022,34031,49489,2356,129.0,1776,2,MPV
Rolls-Royce,2428,194850,8250,12-May-2023,3496,500,2022,Auto,923039,536193,1119,105002,6749,441.0,2785,1,SUV
Rolls-Royce,2380,265280,8250,18-Jan-2021,2652,4200,2020,Auto,710082,515159,899287,49489,6749,420.0,2685,1,Luxury Sedan
Mercedes-Benz,195800,19350,586,14-Nov-2022,3318,7980,2022,Auto,108961,33871,39420,87235,1332,96.0,1480,1,SUV
Bentley,323800,73700,3940,03-Feb-2016,823,70972,2015,Auto,195172,185521,305938,50089,3993,388.0,2295,2,Sports Car
Honda,92888,13560,182,04-Nov-2019,2194,49532,2019,Auto,26176,20813,21139,17001,1496,96.0,1191,1,SUV
BMW,239000,27750,1210,30-Mar-2021,2714,20000,2021,Auto,81882,50750,63350,46002,1998,135.0,1745,1,SUV
BMW,91800,17880,684,04-Dec-2017,1493,88505,2017,Auto,44196,30858,35202,47112,1499,75.0,1480,3,MPV
Mercedes-Benz,142800,19420,586,24-Feb-2020,2313,75587,2019,Auto,52432,32746,37845,37705,1332,120.0,1385,1,Luxury Sedan
Subaru,63888,16940,1208,31-Jan-2017,1185,54000,2016,Auto,27645,15643,15643,52807,1995,110.0,1566,2,SUV
Honda,51800,16870,684,01-Jul-2016,970,55000,2016,Auto,19835,16717,11717,47020,1498,96.0,1046,1,Hatchback
Nissan,66500,14990,508,20-Sep-2017,1134,49638,2017,Auto,26473,19750,14750,42801,1197,85.0,1325,1,SUV
Mercedes-Benz,86880,13250,1364,10-Jun-2010,2370,148193,2009,Auto,22017,44896,44896,33568,1796,135.0,1615,4,Luxury Sedan
Nissan,76800,17090,1210,30-Jun-2017,1344,56000,2017,Auto,34856,24596,26435,47501,1997,106.0,1626,1,SUV
Honda,56000,17890,1210,08-Dec-2015,767,100408,2015,Auto,34011,30479,34671,61103,1997,114.0,1530,2,Luxury Sedan
BMW,115800,19100,1210,25-Jul-2018,1734,82000,2018,Auto,49580,40404,48566,32809,1998,141.0,1460,3,SUV
Kia,39000,8610,663,21-Apr-2008,1640,185715,2008,Auto,17517,7817,5925,38655,1086,47.1,872,6,Hatchback
Renault,86666,16370,766,28-Mar-2018,1617,62383,2017,Auto,39176,25065,27091,47390,1618,151.0,1392,2,Hatchback
Nissan,39000,14110,508,12-May-2016,941,112000,2016,Auto,15233,13026,5000,47300,1198,58.0,1044,2,Hatchback
Mercedes-Benz,173888,24040,1202,13-Nov-2019,2222,64000,2019,Auto,66494,44771,54680,41805,1991,155.0,1735,2,SUV
