ID,Model,Prices,Depreciation,Reg Date,Eng Cap,Mileage,Vehicle Type
1237702,Kia Cerato Forte Koup 1.6A SX Sunroof (COE till 02/2025),19800.0,14230.0,2010-02-26,1591,166000,Sedan
1235932,Audi TT Roadster 2.0A (COE till 08/2030),108800.0,15750.0,2010-11-19,1984,90000,Sports
1198904,Nissan Qashqai 1.2A DIG-T,55888.0,15000.0,2017-01-12,1197,89000,SUV
1207292,Nissan Note 1.2A DIG-S,56800.0,12510.0,2018-02-07,1198,51000,Hatchback
1205796,Porsche Panamera 3.6A PDK (COE till 07/2030),133800.0,19610.0,2011-01-24,3605,139000,Sports
1233986,Nissan X-Trail 2.0A 7-Seater Sunroof,59800.0,17350.0,2016-07-13,1997,85000,SUV
1235998,Honda Vezel 1.5A X Honda Sensing,68800.0,16160.0,2017-08-17,1496,69400,SUV
1215199,Honda City 1.5A SV,54800.0,13990.0,2017-03-16,1497,73000,Sedan
1228770,Toyota Wish 1.8A X,70800.0,17240.0,2017-04-07,1797,81300,MPV
1227713,Mercedes-Benz B-Class B180 Style,40800.0,18720.0,2015-06-23,1595,69000,Hatchback
1138702,Suzuki Swift 1.5A GL (COE till 03/2030),65800.0,10170.0,2010-03-25,1490,150000,Hatchback
1230862,Volkswagen Jetta 1.4A TSI (COE till 08/2025),23800.0,12610.0,2010-08-26,1390,133000,Sedan
1119923,BMW 3 Series 328i Gran Turismo Sunroof,91800.0,22670.0,2016-06-29,1997,78000,Luxury
1212653,Mercedes-Benz S-Class S350L Sunroof (COE till 04/2029),75800.0,13610.0,2009-07-01,3498,139000,Luxury
1227475,Mercedes-Benz S-Class S400L,139800.0,29330.0,2016-01-12,2996,91242,Luxury
1221975,Mazda 6 2.0A,81100.0,15810.0,2018-04-27,1998,80000,Luxury
1207862,Porsche 928 Coupe 4.5M (COE till 02/2025),188888.0,136250.0,1983-09-10,4474,436,Sports
1217424,Mercedes-Benz CLA-Class CLA180,50800.0,19930.0,2015-08-27,1595,92000,Luxury
1229161,Volkswagen Jetta GP 1.4A TSI,40800.0,14900.0,2015-11-30,1390,110000,Sedan
1226194,BMW 1 Series 116i Sportline,139000.0,16020.0,2021-05-06,1499,32500,Hatchback
1196655,Audi R8 Spyder 4.2A FSI Quattro R-tronic (COE till 06/2031),249800.0,32290.0,2012-01-13,4163,44000,Sports
1218319,Lexus RX400h Hybrid Sunroof (COE till 06/2028),62800.0,13270.0,2008-06-30,3311,150000,SUV
1225414,Mazda RX-8 1.3A (COE till 08/2028),70800.0,14530.0,2008-08-20,1308,155700,Sports
1237695,Hyundai i30 1.6A Sunroof (COE till 11/2028),59800.0,11600.0,2008-12-12,1591,130000,Hatchback
1210711,Renault Grand Scenic Diesel 1.5A dCi,87800.0,15180.0,2018-12-18,1461,108000,MPV
1237708,Mercedes-Benz S-Class S350L Sunroof (COE till 08/2030),198000.0,28670.0,2010-10-14,3498,108000,Luxury
1173491,Toyota Vellfire 2.5A Z A-Edition Moonroof,120800.0,29590.0,2017-01-13,2493,110000,MPV
1208676,Toyota Vellfire 3.5A Z Moonroof (COE till 03/2029),87800.0,16000.0,2009-04-06,3456,114500,MPV
1226808,Suzuki Swift Sport 1.6A (COE till 08/2030),83800.0,12130.0,2011-05-31,1586,72747,Hatchback
1237691,Porsche 718 Cayman 2.0A PDK,290000.0,39920.0,2019-09-30,1988,48000,Sports
1226432,Nissan NV350 Caravan 2.0A DX,75000.0,9150.0,2021-12-17,1998,950,Van
1224041,BMW 7 Series 730Li Sunroof,178800.0,27600.0,2018-03-12,1998,68000,Luxury
1228275,Honda Freed Hybrid 1.5A G,139500.0,17170.0,2021-06-17,1496,23620,MPV
1237706,Volkswagen Scirocco 1.4A TSI (COE till 10/2026),39800.0,12960.0,2011-11-10,1390,134800,Sports
1213294,Audi A5 Coupe 2.0A TFSI Quattro (COE till 04/2031),113800.0,15030.0,2011-06-24,1984,170268,Sports
1235710,Honda Jazz 1.3A L (COE till 04/2026),32800.0,12780.0,2011-06-07,1339,144200,Hatchback
1232560,Honda HR-V 1.5A LX,58800.0,15950.0,2016-10-27,1496,128105,SUV
1228567,Kia Sonet 1.5A SX Sunroof,129800.0,13760.0,2022-07-25,1497,11000,SUV
1237716,Honda Fit 1.3A,101800.0,12400.0,2021-10-07,1317,19000,Hatchback
1237705,BMW i3 Electric Range Extender,54800.0,18790.0,2015-12-31,647,70500,Hatchback
1237698,Mazda 2 1.5A (OPC),55800.0,12180.0,2018-02-20,1496,61000,Sedan
1237714,Mitsubishi Attrage 1.2A Sports,39800.0,13280.0,2016-07-28,1193,89000,Sedan
1199596,Mazda 2 HB 1.5A Deluxe,98989.0,12760.0,2020-10-20,1496,37000,Hatchback
1237707,Nissan Pulsar 1.2A DIG-T,57800.0,14190.0,2017-07-28,1197,57000,Hatchback
